,Rank,Movie Names,Links,Rating,Year,Duration_of_movie,Genere,Description
168,169,Kal Ho Naa Ho,https://www.imdb.com//title/tt0347304/?ref_=fea_eds_center-3_IndiaTop250_168,7.9,2003,Not Rated,"Comedy,Drama,Musical,Back to top","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Nain... Read all"
169,170,Major,https://www.imdb.com//title/tt9851854/?ref_=fea_eds_center-3_IndiaTop250_169,8.1,2022,2h 30m,"Action,Biography,Drama,Back to top","Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime ... Read all"
170,171,Garuda Gamana Vrishabha Vahana,https://www.imdb.com//title/tt11953248/?ref_=fea_eds_center-3_IndiaTop250_170,8.3,2021,Raj B. Shetty,"Crime,Drama,Thriller,Back to top","Set in the backdrop of the coastal and cultural city of modern-day Mangaluru, Hari and his soulmate Shiva rise together to great heights only to face off as bitter enemies resulting to their... Read all"
171,172,Ayyappanum Koshiyum,https://www.imdb.com//title/tt11322920/?ref_=fea_eds_center-3_IndiaTop250_171,8.0,2020,Not Rated,"Action,Drama,Thriller,Back to top","The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive."
172,173,Thondi Muthalum Driksakshiyum,https://www.imdb.com//title/tt5906392/?ref_=fea_eds_center-3_IndiaTop250_172,8.1,2017,Not Rated,"Crime,Drama,Thriller,Back to top","Prasad and Sreeja enter wedlock and move to a new place to continue the rest of their lives. Unfortunate events begin to take place after Prasad, a small-time thief, robs Sreeja's gold chain... Read all"
173,174,Jab We Met,https://www.imdb.com//title/tt1093370/?ref_=fea_eds_center-3_IndiaTop250_173,7.9,2007,Not Rated,"Comedy,Drama,Romance,Back to top",A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
174,175,M.S,https://www.imdb.com//title/tt4169250/?ref_=fea_eds_center-3_IndiaTop250_174,8.0,2016,Not Rated,"Biography,Drama,Sport,Back to top",The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
175,176,Ship of Theseus,https://www.imdb.com//title/tt1773764/?ref_=fea_eds_center-3_IndiaTop250_175,8.0,2012,Not Rated,"Drama,Back to top","The film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker."
176,177,Charlie,https://www.imdb.com//title/tt5082014/?ref_=fea_eds_center-3_IndiaTop250_176,8.0,2015,2h 10m,"Adventure,Drama,Romance,Back to top","A young, nonconforming woman named Tessa gets entangled in a cat-and-mouse chase in the by-lanes of Kerala, hunting for a mysterious artist who previously lived in her apartment."
177,178,Manjhi: The Mountain Man,https://www.imdb.com//title/tt3449292/?ref_=fea_eds_center-3_IndiaTop250_177,8.0,2015,TV-14,"Biography,Drama,Back to top","Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain."
178,179,Take Off,https://www.imdb.com//title/tt6315524/?ref_=fea_eds_center-3_IndiaTop250_178,8.1,2017,2h 19m,"Action,Drama,Thriller,Back to top","In 2014, a group of Malayali nurses was captured when terrorists took over the city of Tikrit in Iraq. This movie recounts the ordeal suffered by the nurses following their capture."
179,180,Deiva Thirumagal,https://www.imdb.com//title/tt1857670/?ref_=fea_eds_center-3_IndiaTop250_179,8.2,2011,Not Rated,"Drama,Back to top","A man with disabilities fights for custody of his 7-year-old daughter, and in the process teaches his opponent lawyer the value of love and family."
180,181,The Brawler,https://www.imdb.com//title/tt7180544/?ref_=fea_eds_center-3_IndiaTop250_180,8.0,2017,Not Rated,"Action,Drama,Sport,Back to top",A boxer struggles to make his mark in the boxing world.
181,182,Border,https://www.imdb.com//title/tt0118751/?ref_=fea_eds_center-3_IndiaTop250_181,7.9,1997,Not Rated,"Action,Drama,History,Back to top","In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force."
182,183,Vedam,https://www.imdb.com//title/tt1649431/?ref_=fea_eds_center-3_IndiaTop250_182,8.1,2010,Not Rated,"Action,Drama,Back to top","Stories of 5 people, an educated slum dweller, an aspiring rock star, an old villager, a prostitute and an ostracized Muslim man; all lead up to a night in a hospital filled with jeopardy."
183,184,Dil Bechara,https://www.imdb.com//title/tt8110330/?ref_=fea_eds_center-3_IndiaTop250_183,8.4,2020,Not Rated,"Comedy,Drama,Romance,Back to top","The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group."
184,185,Baahubali: The Beginning,https://www.imdb.com//title/tt2631186/?ref_=fea_eds_center-3_IndiaTop250_184,8.0,2015,Not Rated,"Action,Drama,Back to top","A child from the Mahishmati kingdom is raised by tribal people and one day learns about his royal heritage, his father's bravery in battle and a mission to overthrow the incumbent ruler."
185,186,Salaam Bombay!,https://www.imdb.com//title/tt0096028/?ref_=fea_eds_center-3_IndiaTop250_185,7.9,1988,Not Rated,"Crime,Drama,Back to top","Young Krishna struggles to survive among the drug dealers, pimps, and prostitutes in the back alleys and gutters of India."
186,187,Gargi,https://www.imdb.com//title/tt21261388/?ref_=fea_eds_center-3_IndiaTop250_186,8.1,2022,Gautham Ramachandran,"Drama,Thriller,Back to top",The journey of a young school teacher to prove her father's innocence with the help of a juvenile advocate who's never even seen the interiors of a court hall.
187,188,Karnan,https://www.imdb.com//title/tt11581174/?ref_=fea_eds_center-3_IndiaTop250_187,8.0,2021,2h 38m,"Action,Drama,Back to top","Karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer."
188,189,Arjun Reddy,https://www.imdb.com//title/tt7294534/?ref_=fea_eds_center-3_IndiaTop250_188,8.0,2017,Not Rated,"Action,Drama,Romance,Back to top","Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person."
189,190,Pad Man,https://www.imdb.com//title/tt7218518/?ref_=fea_eds_center-3_IndiaTop250_189,7.9,2018,PG-13,"Comedy,Drama,Back to top","Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
190,191,Kirik Party,https://www.imdb.com//title/tt6054758/?ref_=fea_eds_center-3_IndiaTop250_190,8.3,2016,Not Rated,"Comedy,Drama,Back to top","Kirik Party is the story of a gang of mischievous students, lead by the protagonist Karna (Rakshit Shetty), who has just joined an engineering college."
191,192,Vinnaithaandi Varuvaayaa,https://www.imdb.com//title/tt1609168/?ref_=fea_eds_center-3_IndiaTop250_191,8.1,2010,Not Rated,"Drama,Romance,Back to top",An aspiring filmmaker goes through the ups and downs of romance when he falls for a Christian woman who says she only wants to be friends.
192,193,Baby,https://www.imdb.com//title/tt3848892/?ref_=fea_eds_center-3_IndiaTop250_192,7.9,2015,Not Rated,"Action,Crime,Thriller,Back to top","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent t... Read all"
193,194,Super 30,https://www.imdb.com//title/tt7485048/?ref_=fea_eds_center-3_IndiaTop250_193,7.9,2019,Not Rated,"Biography,Drama,Back to top",Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.
194,195,Hridayam,https://www.imdb.com//title/tt11375428/?ref_=fea_eds_center-3_IndiaTop250_194,8.1,2022,2h 52m,"Drama,Musical,Romance,Back to top","The emotional journey of Arun, his carefree bachelor days in engineering college, and how he matures through various phases of life."
195,196,Pizza,https://www.imdb.com//title/tt2585562/?ref_=fea_eds_center-3_IndiaTop250_195,8.0,2012,Not Rated,"Horror,Thriller,Back to top",A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life.
196,197,Malik,https://www.imdb.com//title/tt10919240/?ref_=fea_eds_center-3_IndiaTop250_196,8.0,2021,2h 42m,"Action,Biography,Crime,Back to top","A past ridden with crime, death and pain is recounted to Freddy, a juvenile criminal, who has been assigned to eliminate his estranged uncle Sulaiman, an aging patriarch, while behind bars."
197,198,Ankhon Dekhi,https://www.imdb.com//title/tt3614516/?ref_=fea_eds_center-3_IndiaTop250_197,7.9,2013,1h 47m,"Comedy,Drama,Back to top","After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
198,199,The Tashkent Files,https://www.imdb.com//title/tt8108268/?ref_=fea_eds_center-3_IndiaTop250_198,8.1,2019,Not Rated,"Drama,Mystery,Thriller,Back to top","Revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated."
199,200,The Music Room,https://www.imdb.com//title/tt0051792/?ref_=fea_eds_center-3_IndiaTop250_199,7.9,1958,Not Rated,"Drama,Music,Back to top","Depicts the end days of a decadent zamindar (landlord) in Bengal, and his efforts to uphold his family prestige even when faced with economic adversity."
200,201,Android Kunjappan Ver 5.25,https://www.imdb.com//title/tt9526826/?ref_=fea_eds_center-3_IndiaTop250_200,8.0,2019,Ratheesh Balakrishnan Poduval,"Comedy,Drama,Sci-Fi,Back to top","Story of a conventional, conservative small town villager and his son who has to move away from home due to his profession. Their relationship gets an endearing twist when an AI humanoid ent... Read all"
201,202,Hindi Medium,https://www.imdb.com//title/tt5764096/?ref_=fea_eds_center-3_IndiaTop250_201,7.8,2017,Not Rated,"Comedy,Drama,Back to top",A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.
202,203,Love Today,https://www.imdb.com//title/tt22488728/?ref_=fea_eds_center-3_IndiaTop250_202,8.1,2022,2h 34m,"Comedy,Drama,Romance,Back to top","Two young lovers, who are made to exchange their phones for a day and what happens due to that."
203,204,English Vinglish,https://www.imdb.com//title/tt2181931/?ref_=fea_eds_center-3_IndiaTop250_203,7.8,2012,Not Rated,"Comedy,Drama,Family,Back to top","A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
204,205,Memories,https://www.imdb.com//title/tt3124456/?ref_=fea_eds_center-3_IndiaTop250_204,8.0,2013,Not Rated,"Mystery,Thriller,Back to top","Sam Alex, a drunkard ex-cop, is forced to investigate a series of murders which are committed in the same pattern. His search leads to a serial killer, and something more than what he expect... Read all"
205,206,Joseph,https://www.imdb.com//title/tt8561086/?ref_=fea_eds_center-3_IndiaTop250_205,8.0,2018,2h 18m,"Crime,Drama,Thriller,Back to top","The story develops through the life of four retired policemen. It has the tone of a thriller investigation. An issue affecting the life of Joseph, the central character, and his family is be... Read all"
206,207,Hey Ram,https://www.imdb.com//title/tt0222012/?ref_=fea_eds_center-3_IndiaTop250_206,7.9,2000,Not Rated,"Crime,Drama,History,Back to top",Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country and sets ou... Read all
207,208,Dor,https://www.imdb.com//title/tt0824316/?ref_=fea_eds_center-3_IndiaTop250_207,8.0,2006,2h 27m,"Drama,Back to top","Two woman --different backgrounds, miles apart, and strangers to each other-- are linked by tragedy. Their new-found friendship is tested as one holds the fate of the other's husband in her ... Read all"
208,209,Lakshya,https://www.imdb.com//title/tt0323013/?ref_=fea_eds_center-3_IndiaTop250_208,7.8,2004,Not Rated,"Action,Drama,Romance,Back to top","An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero."
209,210,Johnny Gaddaar,https://www.imdb.com//title/tt1077248/?ref_=fea_eds_center-3_IndiaTop250_209,7.9,2007,Not Rated,"Crime,Drama,Mystery,Back to top","Police officers recount a tale of missing money which results in lies, deceit, betrayal and death."
210,211,Airlift,https://www.imdb.com//title/tt4387040/?ref_=fea_eds_center-3_IndiaTop250_210,7.9,2016,Not Rated,"Action,Drama,History,Back to top","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
211,212,Anjaam Pathiraa,https://www.imdb.com//title/tt10717738/?ref_=fea_eds_center-3_IndiaTop250_211,7.9,2020,Not Rated,"Crime,Mystery,Thriller,Back to top","The police are on the trail of a serial killer, but with the victims being fellow officers, will they be able to catch the killer and solve the case in time?"
212,213,Thuppakki,https://www.imdb.com//title/tt2187153/?ref_=fea_eds_center-3_IndiaTop250_212,8.1,2012,Not Rated,"Action,Thriller,Back to top",An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.
213,214,Okkadu,https://www.imdb.com//title/tt0366840/?ref_=fea_eds_center-3_IndiaTop250_213,8.1,2003,Not Rated,"Action,Drama,Romance,Back to top",A Kabbadi player rescues a young woman from an unwanted marriage and hides her in his home.
214,215,Ghilli,https://www.imdb.com//title/tt0422320/?ref_=fea_eds_center-3_IndiaTop250_214,8.1,2004,Not Rated,"Action,Drama,Romance,Back to top","Velu, an aspiring kabaddi player, goes to Madurai to participate in a regional match, where he rescues Dhanalakshmi from Muthupandi, a powerful man keen on marrying the girl against her will... Read all"
215,216,Pokiri,https://www.imdb.com//title/tt0816258/?ref_=fea_eds_center-3_IndiaTop250_215,8.0,2006,Not Rated,"Action,Crime,Thriller,Back to top",A money-minded criminal has to deal with two rival gangs as well as an evil cop threatening his girlfriend.
216,217,Gangaajal,https://www.imdb.com//title/tt0373856/?ref_=fea_eds_center-3_IndiaTop250_216,7.8,2003,Not Rated,"Action,Crime,Drama,Back to top","An IPS officer motivates and leads a dysfunctional, corrupt police force of Tezpur to fight against the corrupt politician."
217,218,Kaakha..Kaakha: The Police,https://www.imdb.com//title/tt0375878/?ref_=fea_eds_center-3_IndiaTop250_217,8.0,2003,Not Rated,"Action,Crime,Drama,Back to top","After a police team kills his brother, a drug-dealing gangster vows to kill the entire team and their respective families."
218,219,The Lunchbox,https://www.imdb.com//title/tt2350496/?ref_=fea_eds_center-3_IndiaTop250_218,7.8,2013,PG,"Drama,Romance,Back to top",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through ... Read all
219,220,Vettaiyaadu Vilaiyaadu,https://www.imdb.com//title/tt0455829/?ref_=fea_eds_center-3_IndiaTop250_219,7.9,2006,Not Rated,"Action,Crime,Drama,Back to top","A Police Officer investigates a series of brutal rapes and murders, with the culprits seeming to cover more than one country."
220,221,RRR,https://www.imdb.com//title/tt8178634/?ref_=fea_eds_center-3_IndiaTop250_220,7.8,2022,Not Rated,"Action,Drama,Back to top",A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
221,222,Kaththi,https://www.imdb.com//title/tt3801314/?ref_=fea_eds_center-3_IndiaTop250_221,8.1,2014,Not Rated,"Action,Drama,Back to top",A case of mistaken identity embroils an escaped convict in a fight against a large corporation intent on seizing a village's land.
222,223,Mumbai Police,https://www.imdb.com//title/tt2924472/?ref_=fea_eds_center-3_IndiaTop250_222,7.9,2013,2h 25m,"Crime,Mystery,Thriller,Back to top","ACP Antony is the only one who knows the truth behind ACP Aaryan's murder. Antony meets with an accident, losing his memory and is unable to reveal the killer. He is forced to investigate th... Read all"
223,224,Ab Tak Chhappan,https://www.imdb.com//title/tt0402014/?ref_=fea_eds_center-3_IndiaTop250_223,7.8,2004,Not Rated,"Crime,Drama,Back to top",An honest encounter specialist's life begins to change with the arrival of a new police commissioner who has ties with a local don.
224,225,Manam,https://www.imdb.com//title/tt2926068/?ref_=fea_eds_center-3_IndiaTop250_224,8.0,2014,Not Rated,"Comedy,Drama,Fantasy,Back to top","Through reincarnation, family members are able to cross generations and meddle in each others' lives."
225,226,Oopiri,https://www.imdb.com//title/tt5039054/?ref_=fea_eds_center-3_IndiaTop250_225,8.0,2016,2h 38m,"Comedy,Drama,Back to top","Impressed by his carefree attitude, quadriplegic multi-billionaire Vikram hires a convict out on parole as his caretaker. What follows is a string of life lessons they learn from each other."
226,227,Veer-Zaara,https://www.imdb.com//title/tt0420332/?ref_=fea_eds_center-3_IndiaTop250_226,7.8,2004,Not Rated,"Drama,Family,Musical,Back to top","""Veer-Zaara"" is a saga of love, separation, courage, and sacrifice. A love story that is an inspiration and will remain a legend forever."
227,228,Unnaipol Oruvan,https://www.imdb.com//title/tt1417299/?ref_=fea_eds_center-3_IndiaTop250_227,8.0,2009,Not Rated,"Action,Crime,Drama,Back to top",A retiring police officer remembers a thrilling case of his life which is not recorded in any case files.
228,229,RangiTaranga,https://www.imdb.com//title/tt4432480/?ref_=fea_eds_center-3_IndiaTop250_228,8.2,2015,Not Rated,"Mystery,Thriller,Back to top","Mysterious events begin to unfold after a reclusive novelist and his wife move back to her ancestral village, followed by a journalist."
229,230,Vicky Donor,https://www.imdb.com//title/tt2317337/?ref_=fea_eds_center-3_IndiaTop250_229,7.8,2012,Not Rated,"Comedy,Romance,Back to top","A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
230,231,Thulladha Manamum Thullum,https://www.imdb.com//title/tt1517561/?ref_=fea_eds_center-3_IndiaTop250_230,8.3,1999,2h 50m,"Drama,Romance,Back to top","Kutty is a good-hearted soul, but unfortunate incidents tend to portray his ruffian side whenever he encounters the girl he loves. A bizarre incident brings them closer and yet keeps them ap... Read all"
231,232,Angamaly Diaries,https://www.imdb.com//title/tt6167894/?ref_=fea_eds_center-3_IndiaTop250_231,7.9,2017,Not Rated,"Action,Comedy,Thriller,Back to top","Vincent Pepe who wanted to be a powerful leader of a righteous gang that ruled the city, like his seniors. And then there's the rival clan with the malicious gangsters of Angamaly a locale o... Read all"
232,233,Hazaaron Khwaishein Aisi,https://www.imdb.com//title/tt0411469/?ref_=fea_eds_center-3_IndiaTop250_232,7.9,2003,2h,"Drama,Back to top","Set in the backdrop of Indian Emergency 1975, the story revolves around 3 friends whose lives changes drastically after the turn of events."
233,234,Mother India,https://www.imdb.com//title/tt0050188/?ref_=fea_eds_center-3_IndiaTop250_233,7.8,1957,Not Rated,"Action,Comedy,Drama,Back to top","In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, she always sticks to her own moral code."
234,235,Ayirathil Oruvan,https://www.imdb.com//title/tt1512888/?ref_=fea_eds_center-3_IndiaTop250_234,8.0,2010,Not Rated,"Action,Adventure,Back to top","Anitha, a government official, embarks on a journey to find Chandramouli, an archaeologist, who went to Vietnam to search for any existence of the prince of the Chola dynasty."
235,236,Sonchiriya,https://www.imdb.com//title/tt8108200/?ref_=fea_eds_center-3_IndiaTop250_235,7.9,2019,Not Rated,"Action,Crime,Drama,Back to top","Set in the Chambal valley, the film follows the story of a legion of dreaded, warring dacoits who once terrorized the Indian heartlands."
236,237,Stanley Ka Dabba,https://www.imdb.com//title/tt1907761/?ref_=fea_eds_center-3_IndiaTop250_236,7.8,2011,Not Rated,"Comedy,Drama,Family,Back to top","A school-teacher, who forces children to share their food with him, forbids one from entering the school until he brings his own Tiffin/Lunch-box."
237,238,Secret Superstar,https://www.imdb.com//title/tt6108090/?ref_=fea_eds_center-3_IndiaTop250_237,7.8,2017,Not Rated,"Drama,Music,Back to top",A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.
238,239,Nayak: The Real Hero,https://www.imdb.com//title/tt0291376/?ref_=fea_eds_center-3_IndiaTop250_238,7.8,2001,Not Rated,"Action,Drama,Thriller,Back to top","A man accepts a challenge by the chief minister of Maharashtra to run the state for one day, and makes such a success of it that soon he is embroiled in political intrigue."
239,240,Udta Punjab,https://www.imdb.com//title/tt4434004/?ref_=fea_eds_center-3_IndiaTop250_239,7.7,2016,Not Rated,"Action,Crime,Drama,Back to top",A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.
240,241,Rock On!!,https://www.imdb.com//title/tt1230165/?ref_=fea_eds_center-3_IndiaTop250_240,7.7,2008,Not Rated,"Drama,Music,Back to top",Four friends reunite to relive their moments of glory as a rock band.
241,242,Mr,https://www.imdb.com//title/tt0093578/?ref_=fea_eds_center-3_IndiaTop250_241,7.7,1987,2h 59m,"Action,Comedy,Drama,Back to top","A poor but big-hearted man takes orphans into his home. After discovering his scientist father's invisibility device, he rises to the occasion and fights to save his children and all of Indi... Read all"
242,243,Mimi,https://www.imdb.com//title/tt10895576/?ref_=fea_eds_center-3_IndiaTop250_242,7.9,2021,TV-14,"Comedy,Drama,Back to top",Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu i... Read all
243,244,Happy Days,https://www.imdb.com//title/tt1214961/?ref_=fea_eds_center-3_IndiaTop250_243,7.9,2007,2h 33m,"Drama,Back to top",A group of eight youngsters from an engineering college form an unbreakable friendship after going through various struggles.
244,245,Badla,https://www.imdb.com//title/tt8130968/?ref_=fea_eds_center-3_IndiaTop250_244,7.8,2019,Not Rated,"Crime,Drama,Mystery,Back to top",A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what ac... Read all
245,246,Kai Po Che,https://www.imdb.com//title/tt2213054/?ref_=fea_eds_center-3_IndiaTop250_245,7.8,2013,Not Rated,"Drama,Sport,Back to top",Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.
246,247,Poove Unakkaga,https://www.imdb.com//title/tt2325915/?ref_=fea_eds_center-3_IndiaTop250_246,8.6,1996,2h 30m,"Comedy,Drama,Romance,Back to top","When a man realizes that the Hindu woman he loves is in love with a Christian man, he decides to sacrifice his love and unite their families so as to make the love story a success."
247,248,Raazi,https://www.imdb.com//title/tt7098658/?ref_=fea_eds_center-3_IndiaTop250_247,7.7,2018,Not Rated,"Action,Drama,Thriller,Back to top",A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
248,249,Dasvidaniya,https://www.imdb.com//title/tt1288638/?ref_=fea_eds_center-3_IndiaTop250_248,7.8,2008,1h 53m,"Comedy,Drama,Back to top","A man who loves to make ""to-do lists"" makes one last bucket list when he realizes he is about to die."
249,250,Dia,https://www.imdb.com//title/tt11235142/?ref_=fea_eds_center-3_IndiaTop250_249,8.0,2020,2h 17m,"Drama,Romance,Back to top","Dia takes three years to confess her feelings to Rohith but after a terrible accident, she is told he does not survive. Later, when she starts seeing Adi, she finds out that Rohith is still ... Read all"
